"Summary","Issue Type","Description","Labels","Priority","Components","Epic Link"
"Enrollment status management","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan cap nhat trang thai ghi danh.\n---\n## Pain Points\n- Khong co cach khoa/ mo ghi danh\n---\n## Business Value\n- Quan tri ghi danh chinh xac\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon cap nhat trang thai ghi danh.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Update status\n1. Chon enrollment\n2. Goi PATCH /api/enrollments/:id/status\n---\n# 3. Exception Flow\n## EF-01 – Enrollment khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – Cap nhat thanh cong\nGiven enrollment hop le When update Then status duoc cap nhat\n---\n# 5. API\nPATCH /api/enrollments/:id/status\n---\n# 6. Database Table\nEnrollments\n---\n# 7. Business Rule\nStatus chi nam trong tap cho phep.","scope,enrollments,status,implemented","Medium","Enrollments","Enrollment operations"
"Question CRUD and editor","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan quan ly ngan hang cau hoi.\n---\n## Pain Points\n- Soan thao cau hoi bi roi rac\n---\n## Business Value\n- Tai su dung cau hoi de thi\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon tao/sua/xoa cau hoi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Question CRUD\n1. Mo Question Bank\n2. Tao hoac sua cau hoi\n3. Goi POST/PATCH /api/questions\n---\n# 3. Exception Flow\n## EF-01 – Cau hoi khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – CRUD thanh cong\nGiven du lieu hop le When CRUD Then cau hoi duoc luu\n---\n# 5. API\nGET/POST/PATCH/DELETE /api/questions\n---\n# 6. Database Table\nQuestions\n---\n# 7. Business Rule\nChi LECTURER/ADMIN duoc cap nhat cau hoi.","scope,questions,editor,implemented","High","Questions","Question bank and authoring"
"Question tagging and filtering","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan loc cau hoi theo tags.\n---\n## Pain Points\n- Tim cau hoi kho neu khong co tag\n---\n## Business Value\n- Tai su dung nhanh\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon gan tag va loc cau hoi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Filter\n1. Chon tags\n2. Goi GET /api/questions/by-tags\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Loc dung\nGiven tags When filter Then tra ve danh sach dung\n---\n# 5. API\nGET /api/questions/by-tags?tags=...\n---\n# 6. Database Table\nQuestions (tags)\n---\n# 7. Business Rule\nTag la danh sach chuoi, co the nhieu gia tri.","scope,questions,tags,implemented","Medium","Questions","Question bank and authoring"
"Question statistics and history","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan thong ke va lich su cau hoi.\n---\n## Pain Points\n- Khong co du lieu de danh gia chat luong cau hoi\n---\n## Business Value\n- Cải thien de thi\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon xem thong ke cau hoi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Stats\n1. Mo thong ke\n2. Goi GET /api/questions/stats\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Hien thi thong ke\nGiven du lieu When view Then hien thi metrics\n---\n# 5. API\nGET /api/questions/stats\n---\n# 6. Database Table\nQuestions, Submissions\n---\n# 7. Business Rule\nThong ke theo course hoac tag neu co.","scope,questions,analytics,implemented","Medium","Questions","Question bank and authoring"
"Support multiple question types","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan ho tro nhieu loai cau hoi.\n---\n## Pain Points\n- De thi thieu da dang\n---\n## Business Value\n- Danh gia toan dien\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon su dung nhieu loai cau hoi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Question types\n1. Chon loai cau hoi\n2. Nhap dap an tuong ung\n---\n# 3. Exception Flow\n## EF-01 – Dinh dang dap an sai\nTra 400\n---\n# 4. Acceptance Criteria\n## AC-01 – Ho tro loai cau hoi\nGiven loai hop le When luu Then luu dung schema\n---\n# 5. API\nPOST/PATCH /api/questions\n---\n# 6. Database Table\nQuestions\n---\n# 7. Business Rule\nLoai cau hoi bat buoc nam trong danh sach ho tro.","scope,questions,types,implemented","High","Questions","Question bank and authoring"
"Create and update exams","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan tao va cap nhat de thi.\n---\n## Pain Points\n- Khong co giao dien quan ly de thi\n---\n## Business Value\n- To chuc thi nhanh\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon tao va cap nhat de thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Exam CRUD\n1. Mo Create Exam\n2. Nhap thong tin (title, duration, totalPoints)\n3. Goi POST/PATCH /api/exams\n---\n# 3. Exception Flow\n## EF-01 – Course khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – Tao de thi thanh cong\nGiven du lieu hop le When create Then tao exam moi\n---\n# 5. API\nPOST/PATCH /api/exams\n---\n# 6. Database Table\nExams\n---\n# 7. Business Rule\nExam phai gan courseId hop le.","scope,exams,crud,implemented","High","Exams","Exam authoring and publishing"
"Manage exam questions","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan them/xoa cau hoi trong de thi.\n---\n## Pain Points\n- De thi khong day du neu thieu thao tac\n---\n## Business Value\n- Quan ly cau hoi cho de thi\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon quan ly cau hoi trong de thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Manage questions\n1. Chon exam\n2. Chon cau hoi\n3. Goi POST /api/exams/:id/questions\n---\n# 3. Exception Flow\n## EF-01 – Cau hoi khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – Them/xoa thanh cong\nGiven cau hoi hop le When update Then examQuestion duoc cap nhat\n---\n# 5. API\nPOST/PATCH/DELETE /api/exams/:id/questions/:questionId\n---\n# 6. Database Table\nExamQuestions\n---\n# 7. Business Rule\nKhong cho phep trung cau hoi trong exam.","scope,exams,questions,implemented","High","Exams","Exam authoring and publishing"
"Publish exams","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan mo de thi cho sinh vien.\n---\n## Pain Points\n- De thi mo nham thoi diem\n---\n## Business Value\n- Kiem soat thoi gian thi\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon publish de thi de sinh vien co the thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Publish\n1. Chon exam\n2. Goi POST /api/exams/:id/publish\n---\n# 3. Exception Flow\n## EF-01 – Exam chua du cau hoi\nTra 400\n---\n# 4. Acceptance Criteria\n## AC-01 – Publish thanh cong\nGiven exam hop le When publish Then trang thai exam = PUBLISHED\n---\n# 5. API\nPOST /api/exams/:id/publish\n---\n# 6. Database Table\nExams\n---\n# 7. Business Rule\nExam chi publish khi da co cau hoi.","scope,exams,publish,implemented","High","Exams","Exam authoring and publishing"
"Advanced exam rule configuration","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan cau hinh quy tac de thi nang cao.\n---\n## Pain Points\n- Thieu rule se anh huong chat luong thi\n---\n## Business Value\n- Chuan hoa quy trinh thi\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon cau hinh rule de thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Rule config\n1. Mo Advanced Rule Config\n2. Luu quy tac\n---\n# 3. Exception Flow\n## EF-01 – Rule khong hop le\nTra 400\n---\n# 4. Acceptance Criteria\n## AC-01 – Luu rule thanh cong\nGiven rule hop le When save Then rule duoc luu\n---\n# 5. API\nPATCH /api/exams/:id\n---\n# 6. Database Table\nExams (rule fields)\n---\n# 7. Business Rule\nRule chi ap dung cho exam do.","scope,exams,rule-config,implemented","Medium","Exams","Exam authoring and publishing"
"Generate exam links","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan chia se de thi qua link.\n---\n## Pain Points\n- Sinh vien kho truy cap neu khong co link\n---\n## Business Value\n- Truy cap nhanh\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon sinh link tham gia de thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Generate link\n1. Chon exam\n2. Click Generate Link\n3. He thong tao link\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Link ton tai\nGiven exam hop le When generate Then link duoc tao\n---\n# 5. API\nN/A (client-side utility or exam detail)\n---\n# 6. Database Table\nN/A\n---\n# 7. Business Rule\nLink chi hop le khi exam da publish.","scope,exams,link,implemented","Medium","Exams","Exam authoring and publishing"
"Student ready check and join flow","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nSinh vien can quy trinh join exam ro rang.\n---\n## Pain Points\n- Bo qua ready check co the lam hong bai thi\n---\n## Business Value\n- Tranh loi dau vao\n---\n## Actors\n### Primary Actor\nSTUDENT\n---\n## User Story Statement\nLa mot Sinh vien, toi muon lam ready check truoc khi vao thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Ready check\n1. Mo trang Join Exam\n2. Thuc hien kiem tra\n3. Click Start\n---\n# 3. Exception Flow\n## EF-01 – Khong du dieu kien\nHien thi thong bao va khong cho vao thi\n---\n# 4. Acceptance Criteria\n## AC-01 – Vao thi thanh cong\nGiven dat dieu kien When start Then vao thi\n---\n# 5. API\nPOST /api/submissions/start\n---\n# 6. Database Table\nSubmissions\n---\n# 7. Business Rule\nChi cho vao thi neu exam da publish.","scope,student-exam,join,implemented","High","Student Experience","Student exam participation"
"Student exam taking interface","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan giao dien lam bai thi cho sinh vien.\n---\n## Pain Points\n- Thao tac kho khi lam bai\n---\n## Business Value\n- Tang ty le hoan thanh\n---\n## Actors\n### Primary Actor\nSTUDENT\n---\n## User Story Statement\nLa mot Sinh vien, toi muon giao dien lam bai thi ro rang de nop bai dung han.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Exam taking\n1. Load danh sach cau hoi\n2. Luu dap an tam\n3. Nop bai\n---\n# 3. Exception Flow\n## EF-01 – Het thoi gian\nTu dong nop bai\n---\n# 4. Acceptance Criteria\n## AC-01 – Luu dap an\nGiven cau hoi When chon dap an Then luu tam tren client\n---\n# 5. API\nPOST /api/submissions/:id/submit\n---\n# 6. Database Table\nSubmissionAnswers\n---\n# 7. Business Rule\nKhong cho phep chinh sua sau khi nop.","scope,student-exam,ui,implemented","High","Student Experience","Student exam participation"
"QR based exam join","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan join exam nhanh bang QR.\n---\n## Pain Points\n- Nhap ma thu cong de sai\n---\n## Business Value\n- Giam thao tac\n---\n## Actors\n### Primary Actor\nSTUDENT\n---\n## User Story Statement\nLa mot Sinh vien, toi muon scan QR de vao thi nhanh.\n---\n# 2. User Flow\n## 2.1 Luong chinh: QR join\n1. Mo Scan QR\n2. Quet ma\n3. Chuyen den Join Exam\n---\n# 3. Exception Flow\n## EF-01 – QR khong hop le\nThong bao loi\n---\n# 4. Acceptance Criteria\n## AC-01 – Join bang QR\nGiven QR hop le When scan Then vao phong thi\n---\n# 5. API\nN/A (client side)\n---\n# 6. Database Table\nN/A\n---\n# 7. Business Rule\nQR phai map den examId hop le.","scope,student-exam,qr,implemented","Medium","Student Experience","Student exam participation"
"Offline exam download","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan tai tai lieu exam khi can.\n---\n## Pain Points\n- Mang khong on dinh\n---\n## Business Value\n- Dam bao tiep can thong tin\n---\n## Actors\n### Primary Actor\nSTUDENT\n---\n## User Story Statement\nLa mot Sinh vien, toi muon tai tai lieu exam de xem offline.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Download\n1. Mo Offline Download\n2. Click Download\n---\n# 3. Exception Flow\n## EF-01 – File khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – Tai thanh cong\nGiven file co san When download Then file tai ve\n---\n# 5. API\nN/A\n---\n# 6. Database Table\nN/A\n---\n# 7. Business Rule\nChi tai khi exam cho phep.","scope,student-exam,offline,implemented","Low","Student Experience","Student exam participation"
"Start and submit submissions","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan luu vet bai thi tu luc bat dau den khi nop.\n---\n## Pain Points\n- Mat bai neu khong co submission\n---\n## Business Value\n- Theo doi tien do thi\n---\n## Actors\n### Primary Actor\nSTUDENT\n---\n## User Story Statement\nLa mot Sinh vien, toi muon bat dau va nop bai thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Submission\n1. Goi POST /api/submissions/start\n2. Lam bai\n3. Goi POST /api/submissions/:id/submit\n---\n# 3. Exception Flow\n## EF-01 – Exam chua publish\nTra 400\n---\n# 4. Acceptance Criteria\n## AC-01 – Tao submission\nGiven exam hop le When start Then tao submission\n---\n# 5. API\nPOST /api/submissions/start\nPOST /api/submissions/:id/submit\n---\n# 6. Database Table\nSubmissions\n---\n# 7. Business Rule\nMoi exam chi tao 1 submission cho moi student.","scope,submissions,workflow,implemented","High","Submissions","Submission and grading workflow"
"Student submission history","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nSinh vien can xem lich su bai nop.\n---\n## Pain Points\n- Khong xem lai ket qua\n---\n## Business Value\n- Minh bach ket qua\n---\n## Actors\n### Primary Actor\nSTUDENT\n---\n## User Story Statement\nLa mot Sinh vien, toi muon xem danh sach bai nop cua minh.\n---\n# 2. User Flow\n## 2.1 Luong chinh: History\n1. Mo Submission History\n2. Goi GET /api/submissions/my-submissions\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Hien thi lich su\nGiven user hop le When view Then hien thi danh sach\n---\n# 5. API\nGET /api/submissions/my-submissions\n---\n# 6. Database Table\nSubmissions\n---\n# 7. Business Rule\nChi hien thi submission cua chinh user.","scope,submissions,history,implemented","Medium","Submissions","Submission and grading workflow"
"Manual grading workflow","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan quy trinh cham diem thu cong.\n---\n## Pain Points\n- Khong cham duoc cau tu luan\n---\n## Business Value\n- Dam bao diem chinh xac\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon cham diem va finalize bai thi.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Grade\n1. Chon submission\n2. Goi POST /api/submissions/grade-answer\n3. Goi POST /api/submissions/:id/finalize-grading\n---\n# 3. Exception Flow\n## EF-01 – Submission khong ton tai\nTra 404\n---\n# 4. Acceptance Criteria\n## AC-01 – Cham diem thanh cong\nGiven submission hop le When grade Then diem duoc cap nhat\n---\n# 5. API\nPOST /api/submissions/grade-answer\nPOST /api/submissions/:id/finalize-grading\n---\n# 6. Database Table\nSubmissions, SubmissionAnswers\n---\n# 7. Business Rule\nFinalize chi khi tat ca cau hoi da duoc cham.","scope,grading,manual,implemented","High","Submissions","Submission and grading workflow"
"Exam results and grading breakdown","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan xem ket qua va breakdown.\n---\n## Pain Points\n- Thieu thong tin phan hoi\n---\n## Business Value\n- Minh bach diem so\n---\n## Actors\n### Primary Actor\nSTUDENT/LECTURER/ADMIN\n---\n## User Story Statement\nLa mot Nguoi dung, toi muon xem ket qua va breakdown diem.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Results\n1. Mo Exam Results\n2. Goi GET /api/submissions/exam/:examId\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Hien thi ket qua\nGiven du lieu When view Then hien thi breakdown\n---\n# 5. API\nGET /api/submissions/exam/:examId\nGET /api/submissions/exam/:examId/my-submission\n---\n# 6. Database Table\nSubmissions\n---\n# 7. Business Rule\nSinh vien chi xem ket qua cua minh.","scope,results,grading,implemented","Medium","Submissions","Submission and grading workflow"
"Exam monitoring for lecturers","Story","# 1. Tong quan & Bói cảnh (Overview & Context)\n## Problem\nCan giam sat ky thi theo thoi gian thuc.\n---\n## Pain Points\n- Khong phat hien su co kip thoi\n---\n## Business Value\n- Tang do tin cay ky thi\n---\n## Actors\n### Primary Actor\nLECTURER/ADMIN\n---\n## User Story Statement\nLa mot Giang vien, toi muon giam sat exam dang dien ra.\n---\n# 2. User Flow\n## 2.1 Luong chinh: Monitor\n1. Mo Exam Monitor\n2. Xem event timeline\n---\n# 3. Exception Flow\nN/A\n---\n# 4. Acceptance Criteria\n## AC-01 – Hien thi su kien\nGiven exam hoat dong When view Then hien thi event\n---\n# 5. API\nGET /api/submissions/exam/:examId\n---\n# 6. Database Table\nSubmissions, ProctoringSession\n---\n# 7. Business Rule\nChi nguoi co quyen moi xem monitor.","scope,integrity,monitoring,implemented","High","Integrity","Integrity monitoring and audit"
